date,time,energyType,actualGeneration,status,possibleCause,isValidForAnalysis
06/04/2026,08:00,Solar,120.0,Normal,,true
06/04/2026,12:00,Solar,35.0,LowOutput,,true
06/04/2026,21:30,Solar,0.0,Normal,,true
06/04/2026,09:15,Wind,1800.0,Normal,,true
06/04/2026,14:30,Wind,320.0,LowOutput,,true
06/04/2026,10:00,Hydro,950.0,ForecastUnavailable,,true
07/04/2026,07:45,Solar,60.0,Normal,,true
07/04/2026,13:00,Solar,15.0,LowOutput,,true
07/04/2026,11:30,Wind,2500.0,Normal,,true
07/04/2026,16:00,Wind,100.0,LowOutput,,true
07/04/2026,09:00,Hydro,870.0,ForecastUnavailable,,true
08/04/2026,08:30,Solar,90.0,Normal,,false
08/04/2026,15:00,Wind,1400.0,Normal,,false
08/04/2026,10:30,Hydro,910.0,ForecastUnavailable,,false
09/04/2026,06:30,Solar,20.0,LowOutput,,true
09/04/2026,12:30,Solar,140.0,Normal,,true
09/04/2026,18:00,Wind,450.0,LowOutput,,true
09/04/2026,19:15,Wind,1700.0,Normal,,true
09/04/2026,08:45,Hydro,980.0,ForecastUnavailable,,true
10/04/2026,11:00,Solar,110.0,Normal,,true
12/12/2024,12:23,Solar,12.0,Normal,,true
