date,time,chargingPower,dischargingPower,installedCapacity
06/04/2026,08:00,120.5,45.0,1269.36
06/04/2026,12:00,98.2,52.4,1269.36
06/04/2026,18:00,76.8,61.1,1269.36
07/04/2026,08:00,115.7,49.3,1269.36
07/04/2026,12:00,102.9,55.2,1269.36
07/04/2026,18:00,81.4,63.8,1269.36
08/04/2026,08:00,110.1,48.0,1269.36
08/04/2026,12:00,95.0,57.6,1269.36
09/04/2026,08:00,118.3,46.9,1269.36
09/04/2026,12:00,104.6,54.1,1269.36
10/04/2026,08:00,121.0,44.7,1269.36
10/04/2026,12:00,99.5,58.0,1269.36
01/05/2026,13:03,51.646,16.74,1284.46
